id,title,link,author,points,comments,posted_time
46625918,Anthropic Explicitly Blocking OpenCode (gist.github.com),vote?id=46625918&how=up&goto=news%3Fp%3D4,ryanvogel,163 points,142 comments,17 hours ago
46614015,Show HN: ContextFort – Visibility and controls for browser agents (contextfort.ai),vote?id=46614015&how=up&goto=news%3Fp%3D4,ashwinr2002,6 points,1 comment,14 hours ago
46626338,Introducing tempo (github.com/galaxy-io),vote?id=46626338&how=up&goto=news%3Fp%3D4,ikswolzok,9 points,discuss,16 hours ago
46579864,The struggle of resizing windows on macOS Tahoe (noheger.at),vote?id=46579864&how=up&goto=news%3Fp%3D4,happosai,2736 points,1194 comments,3 days ago
46579612,Show HN: 1D-Pong Game at 39C3 (github.com/ogermer),vote?id=46579612&how=up&goto=news%3Fp%3D4,oger,67 points,13 comments,1 day ago
46632161,Best Practices for AI-Assisted Coding with Claude Code and Building Claude.md (antjanus.com),vote?id=46632161&how=up&goto=news%3Fp%3D4,antjanus,4 points,discuss,3 hours ago
46611348,Show HN: OSS AI agent that indexes and searches the Epstein files (trynia.ai),vote?id=46611348&how=up&goto=news%3Fp%3D4,jellyotsiro,204 points,95 comments,1 day ago
46611507,ASCII Clouds (caidan.dev),vote?id=46611507&how=up&goto=news%3Fp%3D4,majkinetor,340 points,58 comments,1 day ago
46547400,"Virginia Faulkner: Writer, Editor and Ghostwriter? (lithub.com)",vote?id=46547400&how=up&goto=news%3Fp%3D4,samclemens,19 points,2 comments,1 day ago
46616562,"Show HN: Nori CLI, a better interface for Claude Code (no flicker) (github.com/tilework-tech)",vote?id=46616562&how=up&goto=news%3Fp%3D4,csressel,35 points,8 comments,1 day ago
46554774,Handling secrets (somewhat) securely in shells (schreibt.jetzt),vote?id=46554774&how=up&goto=news%3Fp%3D4,todsacerdoti,104 points,43 comments,1 day ago
46621656,Upgrading DrizzleORM logging with AsyncLocalStorage (numeric.substack.com),vote?id=46621656&how=up&goto=news%3Fp%3D5,bihla,10 points,1 comment,13 hours ago
46585160,"Ideas are cheap, execution is cheaper (davekiss.com)",vote?id=46585160&how=up&goto=news%3Fp%3D5,grncdr,58 points,81 comments,4 hours ago
46604308,Show HN: The Tsonic Programming Language (tsonic.org),vote?id=46604308&how=up&goto=news%3Fp%3D5,jeswin,59 points,9 comments,1 day ago
46605675,Show HN: Nogic – VS Code extension that visualizes your codebase as a graph (visualstudio.com),vote?id=46605675&how=up&goto=news%3Fp%3D5,davelradindra,127 points,49 comments,1 day ago
46605854,No management needed: anti-patterns in early-stage engineering teams (ablg.io),vote?id=46605854&how=up&goto=news%3Fp%3D5,tonioab,303 points,328 comments,1 day ago
46557825,Code and Let Live (fly.io),vote?id=46557825&how=up&goto=news%3Fp%3D5,usrme,501 points,186 comments,5 days ago
46613997,LLMs are a 400-year-long confidence trick (tomrenner.com),vote?id=46613997&how=up&goto=news%3Fp%3D5,Growtika,110 points,173 comments,1 day ago
46592424,Superhuman AI Exfiltrates Emails (promptarmor.com),vote?id=46592424&how=up&goto=news%3Fp%3D5,takira,109 points,30 comments,2 days ago
46599341,Show HN: An iOS budget app I've been maintaining since 2011 (primoco.me),vote?id=46599341&how=up&goto=news%3Fp%3D5,Priotecs,158 points,59 comments,2 days ago
46622659,GOG's new owner can't stand Windows either: 'It's such poor-quality software ' (pcgamer.com),vote?id=46622659&how=up&goto=news%3Fp%3D5,truxs,77 points,36 comments,20 hours ago
46624208,Simple to Ornate and Back Again (2024) (josem.co),vote?id=46624208&how=up&goto=news%3Fp%3D5,nikodunk,9 points,discuss,18 hours ago
46598991,"FOSS in times of war, scarcity and (adversarial) AI [video] (fosdem.org)",vote?id=46598991&how=up&goto=news%3Fp%3D5,maelito,160 points,113 comments,2 days ago
46604828,"Ask HN: Iran's 120h internet shutdown, phones back. How to stay resilient?",vote?id=46604828&how=up&goto=news%3Fp%3D5,us321,112 points,94 comments,1 day ago
46616569,"Never-before-seen Linux malware is ""more advanced than typical"" (arstechnica.com)",vote?id=46616569&how=up&goto=news%3Fp%3D5,Brajeshwar,127 points,29 comments,1 day ago
46613684,Ask HN: Why does Google still provide an open redirect for phishers?,vote?id=46613684&how=up&goto=news%3Fp%3D5,throwaway89201,20 points,9 comments,13 hours ago
46589842,Why we built our own background agent (ramp.com),vote?id=46589842&how=up&goto=news%3Fp%3D5,jrsj,119 points,25 comments,1 day ago
46554461,"April 9, 1940 a Dish Best Served Cold (2021) (todayinhistory.blog)",vote?id=46554461&how=up&goto=news%3Fp%3D5,vinnyglennon,77 points,12 comments,1 day ago
46609492,"When hardware goes end-of-life, companies need to open-source the software (marcia.no)",vote?id=46609492&how=up&goto=news%3Fp%3D5,Marciplan,395 points,126 comments,1 day ago
46603535,Influencers and OnlyFans models are dominating U.S. O-1 visa requests (theguardian.com),vote?id=46603535&how=up&goto=news%3Fp%3D5,bookofjoe,409 points,314 comments,2 days ago
46557733,The Cray-1 Computer System (1977) [pdf] (computerhistory.org),vote?id=46557733&how=up&goto=news%3Fp%3D5,LordGrey,157 points,105 comments,2 days ago
46550453,Agonist-Antagonist Myoneural Interface (media.mit.edu),vote?id=46550453&how=up&goto=news%3Fp%3D5,kaycebasques,72 points,7 comments,1 day ago
46600839,Confer – End to end encrypted AI chat (confer.to),vote?id=46600839&how=up&goto=news%3Fp%3D5,vednig,108 points,78 comments,1 day ago
46590280,TimeCapsuleLLM: LLM trained only on data from 1800-1875 (github.com/haykgrigo3),vote?id=46590280&how=up&goto=news%3Fp%3D5,admp,735 points,307 comments,3 days ago
46622463,Wind power slashed 4.6B euros off electricity bills in Spain last year (surinenglish.com),vote?id=46622463&how=up&goto=news%3Fp%3D5,mooreds,174 points,88 comments,21 hours ago
46627915,Microsoft-Activision deal was meant to help The Embracer Grou (gamefile.news),vote?id=46627915&how=up&goto=news%3Fp%3D5,firesteelrain,4 points,1 comment,13 hours ago
46622763,OpenAI is partnering with Cerebras to add 750MW of compute in 10B USD deal (openai.com),vote?id=46622763&how=up&goto=news%3Fp%3D5,alcasa,20 points,7 comments,20 hours ago
46605332,The truth behind the 2026 J.P. Morgan Healthcare Conference (owlposting.com),vote?id=46605332&how=up&goto=news%3Fp%3D5,abhishaike,324 points,87 comments,1 day ago
46608840,We can't have nice things because of AI scrapers (metabrainz.org),vote?id=46608840&how=up&goto=news%3Fp%3D5,LorenDB,461 points,256 comments,1 day ago
46616745,FBI raids Washington Post reporter's home (theguardian.com),vote?id=46616745&how=up&goto=news%3Fp%3D5,echelon_musk,917 points,579 comments,1 day ago
46605587,"Let's be honest, Generative AI isn't going all that well (garymarcus.substack.com)",vote?id=46605587&how=up&goto=news%3Fp%3D5,7777777phil,225 points,322 comments,1 day ago
46589804,I Designed a Custom Protocol for My App (roj.dev),vote?id=46589804&how=up&goto=news%3Fp%3D6,_roj,6 points,2 comments,13 hours ago
46621518,The string theory hype machine will never die (columbia.edu),vote?id=46621518&how=up&goto=news%3Fp%3D6,headalgorithm,57 points,65 comments,21 hours ago
46603111,Are two heads better than one? (eieio.games),vote?id=46603111&how=up&goto=news%3Fp%3D6,evakhoury,208 points,68 comments,1 day ago
46595393,A deep dive on agent sandboxes (pierce.dev),vote?id=46595393&how=up&goto=news%3Fp%3D6,icyfox,67 points,20 comments,1 day ago
46587934,Floppy disks turn out to be the greatest TV remote for kids (smartere.dk),vote?id=46587934&how=up&goto=news%3Fp%3D6,mchro,744 points,414 comments,3 days ago
46612919,First impressions of Claude Cowork (simonw.substack.com),vote?id=46612919&how=up&goto=news%3Fp%3D6,stosssik,24 points,3 comments,13 hours ago
46555297,Inlining – The Ultimate Optimisation (xania.org),vote?id=46555297&how=up&goto=news%3Fp%3D6,PaulHoule,62 points,20 comments,1 day ago
46602737,vLLM large scale serving: DeepSeek 2.2k tok/s/h200 with wide-ep (vllm.ai),vote?id=46602737&how=up&goto=news%3Fp%3D6,robertnishihara,146 points,54 comments,1 day ago
46591708,Postal Arbitrage (walzr.com),vote?id=46591708&how=up&goto=news%3Fp%3D6,The28thDuck,554 points,278 comments,2 days ago
46559266,Why Real Life is better than IRC (2000) (everything2.com),vote?id=46559266&how=up&goto=news%3Fp%3D6,themaxdavitt,67 points,58 comments,1 day ago
46611548,Show HN: Cachekit – High performance caching policies library in Rust (github.com/oxidizelabs),vote?id=46611548&how=up&goto=news%3Fp%3D6,failsafe,46 points,8 comments,1 day ago
46600092,"Show HN: SnackBase – Open-source, GxP-compliant back end for Python teams (snackbase.dev)",vote?id=46600092&how=up&goto=news%3Fp%3D6,lalitgehani,68 points,14 comments,2 days ago
46574276,Don't fall into the anti-AI hype (antirez.com),vote?id=46574276&how=up&goto=news%3Fp%3D6,todsacerdoti,1279 points,1623 comments,4 days ago
46587536,Ozempic is changing the foods Americans buy (cornell.edu),vote?id=46587536&how=up&goto=news%3Fp%3D6,giuliomagnifico,465 points,938 comments,3 days ago
46601157,Apple Creator Studio (apple.com),vote?id=46601157&how=up&goto=news%3Fp%3D6,lemonlime227,513 points,437 comments,2 days ago
46603995,The Tulip Creative Computer (github.com/shorepine),vote?id=46603995&how=up&goto=news%3Fp%3D6,apitman,241 points,61 comments,2 days ago
46542247,Everything you never wanted to know about file locking (2010) (apenwarr.ca),vote?id=46542247&how=up&goto=news%3Fp%3D6,SmartHypercube,89 points,16 comments,2 days ago
46615374,Why NUKEMAP isn't on Google Maps anymore (2019) (nuclearsecrecy.com),vote?id=46615374&how=up&goto=news%3Fp%3D6,fanf2,130 points,29 comments,1 day ago
46596823,We rolled our own documentation site (tangled.org),vote?id=46596823&how=up&goto=news%3Fp%3D6,nerdypepper,60 points,31 comments,1 day ago
46604250,How to make a damn website (2024) (lmnt.me),vote?id=46604250&how=up&goto=news%3Fp%3D6,birdculture,244 points,77 comments,1 day ago
46622139,Show HN: Harmony – AI notetaker for Discord (harmonynotetaker.ai),vote?id=46622139&how=up&goto=news%3Fp%3D6,SeanDorje,28 points,8 comments,21 hours ago
46602102,Scott Adams has died (youtube.com),vote?id=46602102&how=up&goto=news%3Fp%3D6,ekianjo,1053 points,1740 comments,2 days ago
46605490,AI generated music barred from Bandcamp (reddit.com),vote?id=46605490&how=up&goto=news%3Fp%3D6,cdrnsf,937 points,713 comments,1 day ago
46615478,NCSA (National Center for Supercomputing): The unsung hero of Internet history (homeip.net),vote?id=46615478&how=up&goto=news%3Fp%3D6,giuliomagnifico,14 points,discuss,1 day ago
46620835,Verizon outages reported across U.S. (firstcoastnews.com),vote?id=46620835&how=up&goto=news%3Fp%3D6,Scubabear68,226 points,182 comments,22 hours ago
46610557,The $LANG Programming Language,vote?id=46610557&how=up&goto=news%3Fp%3D6,dang,261 points,67 comments,1 day ago
